energy_MeV,intensity
9.776731872558593750e+01,1.961790621862746775e-05
9.282883453369140625e+01,4.706090840045362711e-05
8.818945312500000000e+01,8.838017674861475825e-05
8.383070373535156250e+01,1.290254585910588503e-04
7.973524475097656250e+01,1.470140996389091015e-04
7.588681793212890625e+01,1.447278191335499287e-04
7.227017211914062500e+01,1.244427839992567897e-04
6.887098693847656250e+01,1.181329862447455525e-04
6.567585754394531250e+01,1.270474022021517158e-04
6.267216491699218750e+01,1.535407645860686898e-04
5.984810638427734375e+01,2.215678832726553082e-04
5.719261169433593750e+01,3.710779128596186638e-04
5.469525146484375000e+01,6.469101062975823879e-04
5.234630584716796875e+01,1.105241128243505955e-03
5.013659667968750000e+01,1.676704734563827515e-03
4.805756378173828125e+01,2.394974464550614357e-03
4.610113143920898438e+01,3.131849691271781921e-03
4.425976181030273438e+01,4.000504501163959503e-03
4.252635955810546875e+01,5.084480158984661102e-03
4.089428329467773438e+01,6.421009078621864319e-03
3.935729217529296875e+01,8.128888905048370361e-03
3.790953445434570312e+01,1.016305387020111084e-02
3.654551696777343750e+01,1.250970177352428436e-02
3.526009750366210938e+01,1.510090474039316177e-02
3.404843902587890625e+01,1.792292483150959015e-02
3.290601730346679688e+01,2.073314413428306580e-02
3.182857513427734375e+01,2.331099286675453186e-02
3.081212234497070312e+01,2.537648938596248627e-02
2.985292053222656250e+01,2.700745686888694763e-02
2.894745635986328125e+01,2.829929441213607788e-02
2.809244155883789062e+01,2.972116321325302124e-02
2.728477859497070312e+01,3.146192803978919983e-02
2.652157211303710938e+01,3.374818339943885803e-02
2.580010795593261719e+01,3.649728745222091675e-02
2.511782836914062500e+01,3.952145949006080627e-02
2.447234535217285156e+01,4.248468950390815735e-02
2.386140823364257812e+01,4.530749097466468811e-02
2.328291130065917969e+01,4.797039926052093506e-02
2.273488235473632812e+01,5.069383978843688965e-02
2.221546173095703125e+01,5.351788923144340515e-02
2.172291564941406250e+01,5.661742389202117920e-02
2.125560379028320312e+01,5.978507176041603088e-02
2.081200408935546875e+01,6.285016983747482300e-02
2.039067459106445312e+01,6.551482528448104858e-02
1.999026679992675781e+01,6.770664453506469727e-02
1.960951805114746094e+01,6.952140480279922485e-02
1.924724388122558594e+01,7.093133032321929932e-02
1.890232658386230469e+01,7.227113842964172363e-02
1.857372474670410156e+01,7.375883311033248901e-02
1.826045608520507812e+01,7.563250511884689331e-02
1.796160125732421875e+01,7.794318348169326782e-02
1.767630195617675781e+01,8.034441620111465454e-02
1.740374374389648438e+01,8.270877599716186523e-02
1.714316749572753906e+01,8.445597440004348755e-02
1.689386177062988281e+01,8.565497398376464844e-02
1.665515899658203125e+01,8.634400367736816406e-02
1.642642784118652344e+01,8.673178404569625854e-02
1.620708274841308594e+01,8.716610819101333618e-02
1.599657058715820312e+01,8.774536103010177612e-02
1.579437255859375000e+01,8.837202191352844238e-02
1.560000038146972656e+01,8.909687399864196777e-02
1.541299915313720703e+01,8.963868767023086548e-02
1.523293876647949219e+01,9.021930396556854248e-02
1.505941963195800781e+01,9.053412079811096191e-02
1.489206218719482422e+01,9.081622213125228882e-02
1.473051357269287109e+01,9.089991450309753418e-02
1.457444095611572266e+01,9.079355001449584961e-02
1.442353057861328125e+01,9.052633494138717651e-02
1.427749061584472656e+01,9.007658064365386963e-02
1.413604736328125000e+01,8.945445716381072998e-02
1.399894237518310547e+01,8.877626061439514160e-02
1.386593341827392578e+01,8.813907206058502197e-02
1.373678970336914062e+01,8.778448402881622314e-02
1.361130237579345703e+01,8.758835494518280029e-02
1.348927021026611328e+01,8.736854791641235352e-02
1.337050151824951172e+01,8.704939484596252441e-02
1.325482368469238281e+01,8.623839169740676880e-02
1.314206886291503906e+01,8.523364365100860596e-02
1.303208160400390625e+01,8.394713699817657471e-02
1.292471599578857422e+01,8.258516341447830200e-02
1.281983566284179688e+01,8.128199726343154907e-02
1.271730899810791016e+01,8.016630262136459351e-02
1.261701679229736328e+01,7.917948067188262939e-02
1.251884460449218750e+01,7.827502489089965820e-02
1.242268371582031250e+01,7.738492637872695923e-02
1.232843780517578125e+01,7.657762616872787476e-02
1.223600959777832031e+01,7.542765885591506958e-02
1.214531135559082031e+01,7.413046807050704956e-02
1.205625724792480469e+01,7.274925708770751953e-02
1.196877288818359375e+01,7.150305062532424927e-02
1.188278293609619141e+01,7.073865085840225220e-02
1.179821872711181641e+01,7.053478807210922241e-02
1.171501350402832031e+01,7.082483917474746704e-02
1.163310813903808594e+01,7.115777581930160522e-02
1.155244445800781250e+01,7.139871269464492798e-02
1.147296905517578125e+01,7.137994468212127686e-02
1.139462852478027344e+01,7.114323973655700684e-02
1.131737804412841797e+01,7.065048068761825562e-02
1.124117088317871094e+01,7.000865787267684937e-02
1.116596508026123047e+01,6.916058063507080078e-02
1.109172058105468750e+01,6.826849281787872314e-02
1.101840114593505859e+01,6.737609207630157471e-02
1.094596862792968750e+01,6.678178906440734863e-02
1.087439346313476562e+01,6.648296117782592773e-02
1.080364131927490234e+01,6.652466207742691040e-02
1.073368358612060547e+01,6.647985428571701050e-02
1.066449165344238281e+01,6.618777662515640259e-02
1.059604167938232422e+01,6.521945446729660034e-02
1.052830600738525391e+01,6.368421763181686401e-02
1.046126365661621094e+01,6.186241656541824341e-02
1.039489078521728516e+01,6.033429503440856934e-02
1.032916736602783203e+01,5.923601984977722168e-02
1.026407527923583984e+01,5.869170278310775757e-02
1.019959354400634766e+01,5.827152356505393982e-02
1.013570499420166016e+01,5.799301341176033020e-02
1.007239437103271484e+01,5.767316371202468872e-02
1.000964450836181641e+01,5.747062712907791138e-02
9.947442054748535156e+00,5.745116621255874634e-02
9.885774612426757812e+00,5.761631950736045837e-02
9.824624061584472656e+00,5.789355188608169556e-02
9.763981819152832031e+00,5.819888412952423096e-02
9.703833580017089844e+00,5.842731520533561707e-02
9.644169807434082031e+00,5.890883877873420715e-02
9.584979057312011719e+00,5.940719321370124817e-02
9.526252746582031250e+00,5.983050912618637085e-02
9.467979431152343750e+00,5.996241420507431030e-02
9.410150527954101562e+00,5.968713015317916870e-02
9.352756500244140625e+00,5.908709764480590820e-02
9.295790672302246094e+00,5.828075483441352844e-02
9.239244461059570312e+00,5.754058808088302612e-02
9.183109283447265625e+00,5.694612488150596619e-02
9.127380371093750000e+00,5.652162432670593262e-02
9.072050094604492188e+00,5.639246106147766113e-02
9.017109870910644531e+00,5.660311877727508545e-02
8.962556838989257812e+00,5.704826116561889648e-02
8.908382415771484375e+00,5.775537341833114624e-02
8.854580879211425781e+00,5.837892740964889526e-02
