2026-01-09 05:19:18 - INFO - Starting Spectrum Matching Optimization - Seed: 23776
2026-01-09 05:19:19 - INFO - Bayesian Step 1: laser_energy=11.052109, pressure=7.675921, acquisition_time=77.920513, MSE=0.000584
2026-01-09 05:19:20 - INFO - Bayesian Step 2: laser_energy=27.106049, pressure=13.072302, acquisition_time=42.262001, MSE=0.001254
2026-01-09 05:19:20 - INFO - Bayesian Step 3: laser_energy=10.654171, pressure=12.296520, acquisition_time=34.612096, MSE=0.000545
2026-01-09 05:19:21 - INFO - Bayesian Step 4: laser_energy=13.207238, pressure=33.290299, acquisition_time=38.116091, MSE=0.005297
2026-01-09 05:19:22 - INFO - Bayesian Step 5: laser_energy=15.228382, pressure=43.976270, acquisition_time=22.453897, MSE=0.012672
2026-01-09 05:19:23 - INFO - Bayesian Step 6: laser_energy=36.766271, pressure=7.554998, acquisition_time=31.571446, MSE=0.008435
2026-01-09 05:19:24 - INFO - Bayesian Step 7: laser_energy=13.311631, pressure=12.529799, acquisition_time=63.069057, MSE=0.000423
2026-01-09 05:19:24 - INFO - Bayesian Step 8: laser_energy=17.283500, pressure=36.615405, acquisition_time=62.503227, MSE=0.000495
2026-01-09 05:19:25 - INFO - Bayesian Step 9: laser_energy=12.092144, pressure=14.172728, acquisition_time=93.682672, MSE=0.000587
2026-01-09 05:19:26 - INFO - Bayesian Step 10: laser_energy=34.748764, pressure=30.574218, acquisition_time=12.038483, MSE=0.012656
2026-01-09 05:19:27 - INFO - Bayesian Step 11: laser_energy=16.190826, pressure=17.280771, acquisition_time=68.277680, MSE=0.000580
2026-01-09 05:19:28 - INFO - Bayesian Step 12: laser_energy=49.213137, pressure=50.000000, acquisition_time=100.000000, MSE=0.000587
2026-01-09 05:19:29 - INFO - Bayesian Step 13: laser_energy=49.674940, pressure=2.519880, acquisition_time=92.197883, MSE=0.000587
2026-01-09 05:19:30 - INFO - Bayesian Step 14: laser_energy=50.000000, pressure=50.000000, acquisition_time=71.822457, MSE=0.000587
2026-01-09 05:19:31 - INFO - Bayesian Step 15: laser_energy=5.000000, pressure=50.000000, acquisition_time=100.000000, MSE=0.000587
2026-01-09 05:19:32 - INFO - Bayesian Step 16: laser_energy=49.079403, pressure=45.656049, acquisition_time=52.232255, MSE=0.000587
2026-01-09 05:19:33 - INFO - Bayesian Step 17: laser_energy=8.818078, pressure=5.372736, acquisition_time=55.139970, MSE=0.000490
