2025-11-10 14:27:00 - INFO - Starting Spectrum Matching Optimization - Seed: 742
2025-11-10 14:27:01 - INFO - Bayesian Step 1: laser_energy=5.057729, pressure=10.368657, acquisition_time=47.719596, MSE=0.000720
2025-11-10 14:27:02 - INFO - Bayesian Step 2: laser_energy=23.444610, pressure=9.019196, acquisition_time=88.565549, MSE=0.000587
2025-11-10 14:27:03 - INFO - Bayesian Step 3: laser_energy=49.799564, pressure=14.155790, acquisition_time=15.556487, MSE=0.000587
2025-11-10 14:27:03 - INFO - Bayesian Step 4: laser_energy=5.441107, pressure=39.442482, acquisition_time=37.427230, MSE=0.000587
2025-11-10 14:27:04 - INFO - Bayesian Step 5: laser_energy=40.450414, pressure=45.164500, acquisition_time=98.659273, MSE=0.000587
2025-11-10 14:27:05 - INFO - Bayesian Step 6: laser_energy=18.031766, pressure=11.801905, acquisition_time=67.306048, MSE=0.000584
2025-11-10 14:27:06 - INFO - Bayesian Step 7: laser_energy=16.367873, pressure=13.139289, acquisition_time=83.598514, MSE=0.000587
2025-11-10 14:27:07 - INFO - Bayesian Step 8: laser_energy=41.047270, pressure=28.399833, acquisition_time=23.135745, MSE=0.001118
2025-11-10 14:27:08 - INFO - Bayesian Step 9: laser_energy=26.294845, pressure=28.281903, acquisition_time=74.344492, MSE=0.000586
2025-11-10 14:27:08 - INFO - Bayesian Step 10: laser_energy=29.844958, pressure=17.376240, acquisition_time=67.846770, MSE=0.000587
2025-11-10 14:27:09 - INFO - Bayesian Step 11: laser_energy=5.399821, pressure=2.413287, acquisition_time=41.116506, MSE=0.000586
2025-11-10 14:27:10 - INFO - Bayesian Step 12: laser_energy=24.932263, pressure=17.273918, acquisition_time=60.624237, MSE=0.000577
2025-11-10 14:27:11 - INFO - Bayesian Step 13: laser_energy=42.977843, pressure=45.250624, acquisition_time=42.728797, MSE=0.000517
2025-11-10 14:27:12 - INFO - Bayesian Step 14: laser_energy=30.489880, pressure=3.093463, acquisition_time=8.455752, MSE=0.005044
2025-11-10 14:27:13 - INFO - Bayesian Step 15: laser_energy=5.023710, pressure=28.737750, acquisition_time=99.866480, MSE=0.000587
2025-11-10 14:27:14 - INFO - Bayesian Step 16: laser_energy=50.000000, pressure=17.154011, acquisition_time=79.194478, MSE=0.000587
2025-11-10 14:27:15 - INFO - Bayesian Step 17: laser_energy=50.000000, pressure=31.651624, acquisition_time=100.000000, MSE=0.000587
2025-11-10 14:27:16 - INFO - Bayesian Step 18: laser_energy=47.837671, pressure=2.626322, acquisition_time=30.032796, MSE=0.000587
2025-11-10 14:27:17 - INFO - Bayesian Step 19: laser_energy=45.163213, pressure=45.429841, acquisition_time=54.294994, MSE=0.000586
2025-11-10 14:27:18 - INFO - Bayesian Step 20: laser_energy=13.700307, pressure=3.212702, acquisition_time=5.070054, MSE=0.000333
2025-11-10 14:27:19 - INFO - Bayesian Step 21: laser_energy=5.000000, pressure=1.000000, acquisition_time=5.000000, MSE=0.000587
2025-11-10 14:27:20 - INFO - Bayesian Step 22: laser_energy=11.991691, pressure=3.661563, acquisition_time=35.918491, MSE=0.000587
2025-11-10 14:27:21 - INFO - Bayesian Step 23: laser_energy=32.839902, pressure=3.722537, acquisition_time=100.000000, MSE=0.000587
2025-11-10 14:27:22 - INFO - Bayesian Step 24: laser_energy=21.017493, pressure=14.998675, acquisition_time=5.603161, MSE=0.000928
2025-11-10 14:27:23 - INFO - Bayesian Step 25: laser_energy=10.588558, pressure=23.470210, acquisition_time=99.180103, MSE=0.000587
2025-11-10 14:27:24 - INFO - Bayesian Step 26: laser_energy=36.849872, pressure=32.263220, acquisition_time=60.330646, MSE=0.000478
2025-11-10 14:27:25 - INFO - Bayesian Step 27: laser_energy=46.142196, pressure=11.599919, acquisition_time=5.098280, MSE=0.000587
2025-11-10 14:27:26 - INFO - Bayesian Step 28: laser_energy=18.446770, pressure=49.672117, acquisition_time=31.108281, MSE=0.009670
2025-11-10 14:27:27 - INFO - Bayesian Step 29: laser_energy=40.120036, pressure=14.205114, acquisition_time=100.000000, MSE=0.000587
2025-11-10 14:27:29 - INFO - Bayesian Step 30: laser_energy=33.417051, pressure=49.446529, acquisition_time=7.566589, MSE=0.103491
2025-11-10 14:27:30 - INFO - Bayesian Step 31: laser_energy=50.000000, pressure=50.000000, acquisition_time=77.191800, MSE=0.000587
2025-11-10 14:27:31 - INFO - Bayesian Step 32: laser_energy=5.000000, pressure=18.398577, acquisition_time=27.943534, MSE=0.000430
2025-11-10 14:27:32 - INFO - Bayesian Step 33: laser_energy=50.000000, pressure=1.000000, acquisition_time=77.628234, MSE=0.000587
2025-11-10 14:27:33 - INFO - Bayesian Step 34: laser_energy=6.600791, pressure=39.424322, acquisition_time=88.338508, MSE=0.000587
2025-11-10 14:27:34 - INFO - Bayesian Step 35: laser_energy=40.731664, pressure=1.000000, acquisition_time=57.717117, MSE=0.000587
2025-11-10 14:27:36 - INFO - Bayesian Step 36: laser_energy=5.471404, pressure=50.000000, acquisition_time=64.976173, MSE=0.000587
2025-11-10 14:27:37 - INFO - Bayesian Step 37: laser_energy=50.000000, pressure=50.000000, acquisition_time=90.234733, MSE=0.000587
2025-11-10 14:27:38 - INFO - Bayesian Step 38: laser_energy=47.559927, pressure=27.667469, acquisition_time=46.285133, MSE=0.000587
2025-11-10 14:27:39 - INFO - Bayesian Step 39: laser_energy=46.881721, pressure=40.744005, acquisition_time=70.440013, MSE=0.000587
2025-11-10 14:27:40 - INFO - Bayesian Step 40: laser_energy=48.562942, pressure=25.452597, acquisition_time=88.413406, MSE=0.000587
2025-11-10 14:27:41 - INFO - Bayesian Step 41: laser_energy=10.721960, pressure=49.916667, acquisition_time=50.618913, MSE=0.000584
2025-11-10 14:27:42 - INFO - Bayesian Step 42: laser_energy=45.925531, pressure=25.652296, acquisition_time=35.292151, MSE=0.000584
2025-11-10 14:27:44 - INFO - Bayesian Step 43: laser_energy=21.134196, pressure=49.964899, acquisition_time=99.385232, MSE=0.000587
2025-11-10 14:27:45 - INFO - Bayesian Step 44: laser_energy=7.226749, pressure=1.109057, acquisition_time=92.084935, MSE=0.000587
2025-11-10 14:27:46 - INFO - Bayesian Step 45: laser_energy=5.000000, pressure=19.887372, acquisition_time=19.324571, MSE=0.000425
2025-11-10 14:27:47 - INFO - Bayesian Step 46: laser_energy=50.000000, pressure=32.562333, acquisition_time=31.113632, MSE=0.000587
2025-11-10 14:27:49 - INFO - Bayesian Step 47: laser_energy=5.000000, pressure=1.000000, acquisition_time=68.115084, MSE=0.000587
2025-11-10 14:27:50 - INFO - Bayesian Step 48: laser_energy=48.775138, pressure=12.633791, acquisition_time=37.198119, MSE=0.000587
2025-11-10 14:27:51 - INFO - Bayesian Step 49: laser_energy=5.189827, pressure=37.905338, acquisition_time=48.853800, MSE=0.000587
2025-11-10 14:27:53 - INFO - Bayesian Step 50: laser_energy=6.880250, pressure=2.048761, acquisition_time=22.338886, MSE=0.000578
2025-11-10 14:27:54 - INFO - Bayesian Step 51: laser_energy=49.165146, pressure=38.287238, acquisition_time=81.167997, MSE=0.000587
2025-11-10 14:27:55 - INFO - Bayesian Step 52: laser_energy=47.749678, pressure=25.556471, acquisition_time=12.071525, MSE=0.000585
2025-11-10 14:27:57 - INFO - Bayesian Step 53: laser_energy=44.052988, pressure=9.047305, acquisition_time=25.060236, MSE=0.000185
2025-11-10 14:27:58 - INFO - Bayesian Step 54: laser_energy=49.748226, pressure=25.972113, acquisition_time=5.311358, MSE=0.000587
2025-11-10 14:27:59 - INFO - Bayesian Step 55: laser_energy=50.000000, pressure=20.882983, acquisition_time=5.000000, MSE=0.000587
2025-11-10 14:28:01 - INFO - Bayesian Step 56: laser_energy=7.072315, pressure=18.754772, acquisition_time=45.274263, MSE=0.000715
2025-11-10 14:28:02 - INFO - Bayesian Step 57: laser_energy=5.000000, pressure=25.057875, acquisition_time=57.727170, MSE=0.000541
2025-11-10 14:28:04 - INFO - Bayesian Step 58: laser_energy=10.522012, pressure=38.123606, acquisition_time=24.101509, MSE=0.000544
