energy,intensity
97.76732,0.021628905
92.828835,0.02331187
88.18945,0.024571193
83.8307,0.026108816
79.735245,0.027431617
75.88682,0.029339831
72.27017,0.03139128
68.87099,0.033447083
65.67586,0.035361953
62.672165,0.037335023
59.848106,0.039388157
57.19261,0.04187767
54.69525,0.044427503
52.346306,0.047115203
50.136597,0.049887456
48.057564,0.052952893
46.10113,0.056019742
44.25976,0.05884292
42.52636,0.061822366
40.894283,0.06475167
39.357292,0.06742809
37.909534,0.07042486
36.545517,0.0736499
35.260098,0.07715918
34.04844,0.080716
32.906017,0.08462242
31.828575,0.0886742
30.812122,0.091788106
29.85292,0.09507813
28.947456,0.09860441
28.092442,0.101346835
27.284779,0.104187034
26.521572,0.10811678
25.800108,0.11187241
25.117828,0.11606844
24.472345,0.119486175
23.861408,0.123032704
23.282911,0.12696353
22.734882,0.12951258
22.215462,0.13214822
21.722916,0.13521144
21.255604,0.13879949
20.812004,0.14238642
20.390675,0.14547108
19.990267,0.14809409
19.609518,0.15082133
19.247244,0.15381113
18.902327,0.1553876
18.573725,0.15790191
18.260456,0.16053124
17.961601,0.16336408
17.676302,0.16509637
17.403744,0.16784894
17.143167,0.16997638
16.893862,0.17179653
16.655159,0.17382242
16.426428,0.17615438
16.207083,0.17817971
15.996571,0.18052454
15.794373,0.18099527
15.6,0.1840889
15.412999,0.18679385
15.232939,0.19005132
15.05942,0.19166213
14.892062,0.19352326
14.730514,0.19337639
14.574441,0.19305393
14.423531,0.19356242
14.277491,0.19350646
14.136047,0.19420895
13.998942,0.19569576
13.865933,0.19558148
13.73679,0.19551586
13.611302,0.19560999
13.48927,0.1949016
13.3705015,0.19663289
13.254824,0.19791035
13.142069,0.19673315
13.032082,0.19750133
12.924716,0.19666818
12.819836,0.19498952
12.717309,0.19461876
12.617017,0.19593538
12.518845,0.19596273
12.422684,0.19759662
12.328438,0.19710311
12.23601,0.1968104
12.145311,0.19337395
12.056257,0.19118592
11.968773,0.18966915
11.882783,0.18945171
11.798219,0.18760687
11.7150135,0.18807092
11.633108,0.18752113
11.552444,0.18706919
11.472969,0.18849173
11.394629,0.18774694
11.317378,0.18787272
11.241171,0.18604349
11.165965,0.1871664
11.091721,0.18488145
11.018401,0.18294607
10.945969,0.18535167
10.874393,0.18496788
10.803641,0.18604468
10.733684,0.18576786
10.664492,0.1853378
10.596042,0.18296894
10.528306,0.17959079
10.461264,0.1768518
10.394891,0.17350706
10.329167,0.17475174
10.264075,0.1727449
10.199594,0.17098722
10.135705,0.16919725
10.072394,0.1672307
10.0096445,0.16987619
9.947442,0.1677242
9.885775,0.16641827
9.824624,0.16508725
9.763982,0.16551718
9.703834,0.16699243
9.64417,0.16666928
9.584979,0.16845664
